颅顶点 x,颅顶点 y,颅顶点 z,第七颈椎 x,第七颈椎 y,第七颈椎 z,胸骨下点 x,胸骨下点 y,胸骨下点 z,脐点 x,脐点 y,脐点 z,耻骨 x,耻骨 y,耻骨 z,左肩峰 x,左肩峰 y,左肩峰 z,左肘 x,左肘 y,左肘 z,左腕 x,左腕 y,左腕 z,左中指尖 x,左中指尖 y,左中指尖 z,左髋 x,左髋 y,左髋 z,左膝 x,左膝 y,左膝 z,左踝 x,左踝 y,左踝 z,左足跟 x,左足跟 y,左足跟 z,左趾尖 x,左趾尖 y,左趾尖 z,右肩峰 x,右肩峰 y,右肩峰 z,右肘 x,右肘 y,右肘 z,右腕 x,右腕 y,右腕 z,右中指尖 x,右中指尖 y,右中指尖 z,右髋 x,右髋 y,右髋 z,右膝 x,右膝 y,右膝 z,右踝 x,右踝 y,右踝 z,右足跟 x,右足跟 y,右足跟 z,右趾尖 x,右趾尖 y,右趾尖 z,重心 x,重心 y,重心 z,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3116.6,1183.2,274.2,3074.2,1144.1,68.1,2823.6,978.1,-125.1,2796.8,930.9,-132.4,2851.5,995.7,-161.7,0,0,0,0,0,0,0,0,0,0,0,0,3170.6,1111.2,284.5,3163.1,1145.0,91.5,3125.7,1118.0,-85.2,3066.6,1102.3,-106.9,3196.7,1191.5,-95.5,-412.1,-156.4,-86.8,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3118.1,1184.0,272.9,3078.3,1147.9,68.5,2835.8,985.6,-122.8,2811.4,943.9,-128.1,2857.8,1000.2,-162.4,0,0,0,0,0,0,0,0,0,0,0,0,3175.2,1114.5,283.6,3165.3,1146.8,91.9,3126.0,1118.2,-85.0,3066.7,1102.3,-106.6,3197.2,1191.3,-94.5,-412.0,-156.4,-86.4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3119.8,1184.9,271.7,3083.0,1152.0,69.1,2848.0,993.3,-120.5,2825.1,956.3,-124.4,2864.5,1005.2,-162.9,0,0,0,0,0,0,0,0,0,0,0,0,3179.9,1117.9,282.8,3167.6,1148.7,92.2,3126.4,1118.5,-84.8,3066.8,1102.3,-106.3,3197.7,1191.0,-93.5,-411.9,-156.4,-85.9,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3121.9,1185.8,270.5,3088.5,1156.4,70.0,2859.8,1001.2,-118.3,2837.2,967.4,-121.5,2871.9,1010.8,-163.1,0,0,0,0,0,0,0,0,0,0,0,0,3184.8,1121.6,282.4,3170.0,1150.7,92.4,3127.0,1119.0,-84.5,3067.0,1102.1,-106.2,3198.2,1190.7,-92.5,-412.0,-156.4,-85.6,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3124.4,1186.9,269.5,3095.1,1161.3,71.2,2871.2,1009.1,-116.3,2847.2,977.0,-119.8,2880.0,1017.4,-163.2,0,0,0,0,0,0,0,0,0,0,0,0,3190.1,1125.5,282.2,3172.6,1152.7,92.6,3128.0,1119.8,-84.1,3067.2,1101.9,-106.4,3198.6,1190.5,-91.7,-412.3,-156.5,-85.3,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3127.4,1188.0,268.9,3102.7,1166.6,72.7,2881.9,1016.7,-114.6,2855.3,984.8,-119.3,2889.0,1025.0,-163.3,0,0,0,0,0,0,0,0,0,0,0,0,3195.6,1129.6,282.3,3175.2,1154.8,93.0,3129.3,1120.9,-83.7,3067.4,1101.7,-106.7,3198.9,1190.3,-91.1,-412.6,-156.6,-85.2,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3130.9,1189.5,268.6,3111.3,1172.4,74.5,2891.8,1023.9,-113.5,2862.0,991.1,-119.7,2898.7,1033.4,-163.2,0,0,0,0,0,0,0,0,0,0,0,0,3201.6,1134.1,282.7,3177.6,1156.9,93.5,3130.7,1122.1,-83.2,3067.6,1101.4,-107.1,3199.1,1190.2,-90.8,-413.2,-156.9,-85.2,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3134.7,1191.3,268.6,3120.6,1178.9,76.7,2901.3,1030.7,-112.8,2867.9,996.5,-120.6,2909.1,1042.6,-162.9,0,0,0,0,0,0,0,0,0,0,0,0,3208.2,1139.1,283.2,3179.9,1158.7,94.0,3131.9,1123.2,-82.8,3067.7,1101.2,-107.5,3199.2,1190.2,-90.6,-413.9,-157.3,-85.3,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3139.1,1193.7,268.8,3130.5,1185.8,79.2,2910.4,1037.5,-112.6,2873.8,1001.6,-121.6,2920.1,1052.2,-162.2,0,0,0,0,0,0,0,0,0,0,0,0,3215.6,1144.7,283.8,3181.8,1160.4,94.5,3132.9,1124.0,-82.4,3067.8,1101.1,-107.8,3199.2,1190.1,-90.5,-414.8,-157.8,-85.4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3143.9,1196.7,269.4,3140.5,1193.2,81.9,2919.5,1044.3,-112.7,2880.2,1007.0,-122.4,2931.5,1061.9,-161.0,0,0,0,0,0,0,0,0,0,0,0,0,3223.4,1150.7,284.4,3183.4,1161.7,94.9,3133.6,1124.6,-82.2,3067.9,1101.0,-108.0,3199.2,1190.1,-90.5,-415.8,-158.5,-85.6,
